log(fluence_n_cm2),wt_percent_Cu,wt_percent_Ni,temperature_C,log(flux_n_cm2_sec),wt_percent_Mn,wt_percent_P,wt_percent_C,wt_percent_Si,Product Form_2,Product Form_5,Product Form_0,Product Form_3,Product Form_4,Product Form_1
18.46538285144842,0.049,0.725,294.4444444444445,11.06894915322261,1.85,0.012,0.059,0.239,0.0,1.0,0.0,0.0,0.0,0.0
19.11727129565577,0.049,0.725,294.4444444444445,10.92123534596068,1.85,0.012,0.059,0.239,0.0,1.0,0.0,0.0,0.0,0.0
19.36361197989214,0.049,0.725,294.4444444444445,10.89678965896313,1.85,0.012,0.059,0.239,0.0,1.0,0.0,0.0,0.0,0.0
18.51851393987789,0.081,0.61,294.4444444444445,11.08520888169895,1.393,0.012,0.235,0.285,1.0,0.0,0.0,0.0,0.0,0.0
19.06069784035361,0.081,0.61,294.4444444444445,10.90675279860686,1.393,0.012,0.235,0.285,1.0,0.0,0.0,0.0,0.0,0.0
19.35218251811136,0.081,0.61,294.4444444444445,10.88770393995589,1.393,0.012,0.235,0.285,1.0,0.0,0.0,0.0,0.0,0.0
18.51851393987789,0.081,0.61,294.4444444444445,11.08520888169895,1.393,0.012,0.235,0.285,1.0,0.0,0.0,0.0,0.0,0.0
19.06069784035361,0.081,0.61,294.4444444444445,10.90675279860686,1.393,0.012,0.235,0.285,1.0,0.0,0.0,0.0,0.0,0.0
19.35218251811136,0.081,0.61,294.4444444444445,10.88770393995589,1.393,0.012,0.235,0.285,1.0,0.0,0.0,0.0,0.0,0.0
18.51851393987789,0.042,0.153,294.4444444444445,11.08520888169895,1.163,0.008,0.14,0.133,0.0,1.0,0.0,0.0,0.0,0.0
19.06069784035361,0.042,0.153,294.4444444444445,10.90675279860686,1.163,0.008,0.14,0.133,0.0,1.0,0.0,0.0,0.0,0.0
19.35218251811136,0.042,0.153,294.4444444444445,10.88770393995589,1.163,0.008,0.14,0.133,0.0,1.0,0.0,0.0,0.0,0.0
18.69897000433602,0.12,0.64,287.2222222222222,10.72159690180681,1.29,0.011,0.26,0.24,1.0,0.0,0.0,0.0,0.0,0.0
